egoid,usetobacco_6,usebeer_6,usewine_6,usedrugs_6,usedrugs_prescr_6,usecaffine_6
71089,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
80980,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
29115,,,,,,
98462,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
94455,,,,,,
11148,,,,,,
88384,,,,,,
60904,,,,,,
64302,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
51882,,,,,,
54200,,,,,,
22688,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
38815,Not at all,Three times a week or more,1-2 times a month,Not at all,Not at all,Three times a week or more
34525,Not at all,1-2 times a week,1-2 times a month,Three times a week or more,Less than 1-2 times a month,Three times a week or more
68404,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
71836,,,,,,
12748,,,,,,
33445,,,,,,
83078,,,,,,
72160,,,,,,
55569,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
72885,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,1-2 times a month,1-2 times a week
47006,,,,,,
36574,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
71193,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
44070,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a week
49010,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
98760,,,,,,
95374,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
71985,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
43125,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more
98117,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
22989,1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a month
24883,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
65068,,,,,,
20650,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
19460,,,,,,
66815,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
89161,,,,,,
54956,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
14847,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a week
85453,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
19827,,,,,,
31121,,,,,,
38683,,,,,,
82918,,,,,,
43382,,,,,,
44344,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
94215,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
80675,,,,,,
57144,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
94662,Not at all,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all,1-2 times a week
98700,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
44675,,,,,,
33341,,,,,,
37396,,,,,,
65072,1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
37148,,,,,,
11910,,,,,,
75438,,,,,,
99733,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
27407,Not at all,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
14250,,,,,,
43794,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
73918,,,,,,
60216,,,,,,
28681,,,,,,
51437,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
21932,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
29733,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
98206,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
36385,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
26651,,,,,,
54030,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
67993,Not at all,1-2 times a week,Three times a week or more,Not at all,Not at all,Three times a week or more
96543,,,,,,
49800,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
29296,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
11002,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
72850,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
15134,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
69124,,,,,,
42531,,,,,,
34062,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
18111,Not at all,1-2 times a week,Three times a week or more,Not at all,Not at all,Three times a week or more
42646,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Not at all
63922,,,,,,
59097,,,,,,
72912,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all
91484,,,,,,
24833,,,,,,
21971,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
58654,,,,,,
13928,,,,,,
84502,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
64090,,,,,,
52123,Not at all,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more
78783,,,,,,
25197,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
35872,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
93462,,,,,,
23270,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
69807,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more
92716,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
66061,,,,,,
56058,,,,,,
57854,,,,,,
68679,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,Three times a week or more
90750,,,,,,
70125,,,,,,
67192,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
12029,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
70745,Not at all,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
43255,,,,,,
93856,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
10237,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all
97448,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more
43603,,,,,,
86974,,,,,,
89165,,,,,,
97280,1-2 times a week,1-2 times a week,1-2 times a month,1-2 times a month,1-2 times a week,1-2 times a week
54098,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
66156,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
67177,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month
22540,,,,,,
70668,,,,,,
15586,,,,,,
27232,,,,,,
18611,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,1-2 times a week
87328,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
88963,,,,,,
61756,,,,,,
57045,,,,,,
49497,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week,Three times a week or more
15031,,,,,,
79607,,,,,,
41952,,,,,,
17183,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
22408,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all
54435,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
38554,,,,,,
38293,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week
33785,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month
44310,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
33009,Not at all,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all,Three times a week or more
31294,,,,,,
65143,,,,,,
91726,,,,,,
59355,,,,,,
96184,,,,,,
92339,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
70005,,,,,,
64157,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
68050,,,,,,
46151,,,,,,
79395,,,,,,
59863,,,,,,
63419,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
22913,1-2 times a month,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Three times a week or more
91313,,,,,,
14511,,,,,,
73962,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
48969,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
22093,,,,,,
32919,,,,,,
10153,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month
79731,,,,,,
63611,,,,,,
64296,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
23487,,,,,,
17569,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a week
77036,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
53518,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month,Three times a week or more
92340,,,,,,
37485,,,,,,
33953,,,,,,
53333,,,,,,
82986,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
61772,,,,,,
47280,,,,,,
70566,,,,,,
82964,,,,,,
11402,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week
38610,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
96610,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
77711,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
48505,,,,,,
78667,,,,,,
17020,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
48676,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
29885,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
32976,,,,,,
79167,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all
65061,,,,,,
43710,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week
61389,,,,,,
22455,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
82819,,,,,,
67771,,,,,,
57443,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
96469,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
94579,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
29257,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
23518,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
80484,,,,,,
49539,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
63904,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
82490,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
20335,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
35031,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
88185,,,,,,
35344,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
31175,,,,,,
41167,,,,,,
98325,,,,,,
36963,,,,,,
50666,,,,,,
98624,,,,,,
42617,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
58793,,,,,,
25125,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
