egoid,usetobacco_7,usebeer_7,usewine_7,usedrugs_7,usedrugs_prescr_7,usecaffine_7
22688,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
38815,Not at all,Three times a week or more,1-2 times a month,Not at all,Not at all,Three times a week or more
34525,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Three times a week or more
68404,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
71836,,,,,,
12748,,,,,,
33445,,,,,,
83078,,,,,,
72160,,,,,,
55569,,,,,,
72885,,,,,,
47006,,,,,,
36574,,,,,,
71193,Not at all,1-2 times a week,Not at all,Not at all,Not at all,Three times a week or more
44070,,,,,,
49010,,,,,,
98760,,,,,,
95374,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
71985,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Not at all
43125,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more
98117,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
22989,,,,,,
24883,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
65068,,,,,,
20650,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
19460,,,,,,
66815,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
89161,,,,,,
54956,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
14847,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a month
85453,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
19827,,,,,,
31121,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week
38683,,,,,,
82918,,,,,,
43382,Not at all,Not at all,Three times a week or more,Not at all,Not at all,Not at all
44344,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a month
94215,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
80675,,,,,,
57144,,,,,,
94662,,,,,,
98700,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
44675,,,,,,
33341,,,,,,
37396,,,,,,
65072,1-2 times a month,Three times a week or more,1-2 times a week,1-2 times a month,Not at all,Three times a week or more
37148,,,,,,
11910,,,,,,
75438,,,,,,
99733,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
27407,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a week
14250,,,,,,
43794,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a month
73918,,,,,,
60216,,,,,,
28681,,,,,,
51437,Not at all,1-2 times a week,Three times a week or more,Not at all,Not at all,Three times a week or more
21932,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
29733,Not at all,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
98206,,,,,,
36385,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
26651,,,,,,
54030,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
67993,,,,,,
96543,,,,,,
49800,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
29296,,,,,,
11002,,,,,,
72850,,,,,,
15134,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
69124,,,,,,
42531,,,,,,
34062,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
18111,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
42646,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
63922,,,,,,
59097,,,,,,
72912,,,,,,
91484,,,,,,
24833,,,,,,
21971,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
58654,,,,,,
13928,,,,,,
84502,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
64090,,,,,,
52123,,,,,,
78783,,,,,,
25197,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
35872,,,,,,
93462,,,,,,
23270,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
69807,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more
92716,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more
66061,,,,,,
56058,,,,,,
57854,,,,,,
68679,,,,,,
90750,,,,,,
70125,,,,,,
67192,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Less than 1-2 times a month
12029,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
70745,Not at all,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all
43255,,,,,,
93856,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
10237,Not at all,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
97448,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more
43603,,,,,,
86974,,,,,,
89165,,,,,,
97280,,,,,,
54098,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
66156,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,1-2 times a week
67177,Not at all,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a week
22540,,,,,,
70668,,,,,,
15586,,,,,,
27232,,,,,,
18611,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
87328,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
88963,,,,,,
61756,,,,,,
57045,,,,,,
49497,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Less than 1-2 times a month,1-2 times a week
15031,,,,,,
79607,,,,,,
41952,,,,,,
17183,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
22408,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Not at all
54435,,,,,,
38554,,,,,,
38293,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week
33785,Three times a week or more,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
44310,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all
33009,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
31294,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
65143,,,,,,
91726,,,,,,
59355,,,,,,
96184,,,,,,
92339,,,,,,
70005,,,,,,
64157,,,,,,
68050,,,,,,
46151,,,,,,
79395,,,,,,
59863,,,,,,
63419,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
22913,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
91313,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
14511,,,,,,
73962,,,,,,
48969,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all
22093,,,,,,
32919,,,,,,
10153,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a week
79731,,,,,,
63611,,,,,,
64296,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
23487,,,,,,
17569,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
