egoid,usetobacco_4,usebeer_4,usewine_4,usedrugs_4,usedrugs_prescr_4,usecaffine_4
30152,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
68764,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
60367,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
36939,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
59592,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
22897,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Three times a week or more
89652,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
28724,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
92895,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
69831,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
59178,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
50072,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
44927,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
71894,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Not at all
76790,Not at all,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Three times a week or more
66676,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
95930,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
70962,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
12738,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
27111,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
30453,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
80177,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
18677,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a month
66047,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all
58682,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
79834,Not at all,Not at all,Three times a week or more,Not at all,Not at all,Not at all
93471,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
19538,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
38052,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
33133,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
40021,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
27141,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
93858,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
47810,Not at all,Not at all,1-2 times a week,Not at all,Not at all,1-2 times a month
58196,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
42773,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
76663,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
48224,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
30137,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
68318,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
62246,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
61028,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
55424,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
17581,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
23576,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
17522,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
97833,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
93485,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
62617,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week
42137,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
37305,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month
48013,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
